black	blue	brown	cyan	darkgreen	darkgrey	darkorange	darkred	darkturquoise	green	greenyellow	grey60	lightcyan	lightgreen	lightyellow	magenta	midnightblue	orange	pink	purple	red	royalblue	salmon	tan	turquoise	yellow
CTNNA2	FARP2	DCN	YBX1	EIF2B1	HELZ2	CTRC	KIAA1614	TNN	DEPDC1B	7SK	MRPS14	CNR1	NEK4	THBS4	NLRC4	PRDX6	MTHFD1	EIF3E	CDV3	MGAT4A	FGL2	CYB5R4	EXOSC3	DNAH9	CD44
SPTB	USH1C	ELOVL5	EIF2B3	KRR1	TRIM21	SLC2A2	MAP3K12	CRISPLD1	NSUN2	RNU4-7P	LPGAT1	FBXO30	PLA2G4A	MAN1C1	CECR1	DARS2	PSMC1	RPS16	HNRNPC	ING3	ARHGEF6	DHX29	NFKB1	LUC7L	ARNTL2
RPS6KA6	ARHGAP44	MAP4K5	EXOSC5	RAB35	XAF1	PNLIPRP2	ADAMTS10	CPXM2	TRIT1	RN7SKP9	ARFGEF2	CASQ2	TMEM115	TCF21	TREM2	DIEXF	YY1	RPS19	PSMB5	ST6GAL1	GIMAP6	LAPTM4A	PTBP3	BAIAP3	UBA6
WSCD2	SCIN	EHD3	NRD1	COX6A1	EPSTI1	KLK1	ZNF660	TMEM35	USP28	SNORA23	CHD1L	ABCG2	HEATR5A	NKX2-3	CYTH4	NENF	CINP	RPL18A	PSMA7	ITM2A	GIMAP4	NUCB2	RAD23B	CRAMP1L	TMSB10
PAK3	ARSD	IGF1	SDF4	SRSF9	RARRES3	CTRB1	JPH3	OMD	RFC2	RNU1-12P	KIAA0664	PCDH17	CAPN7	CDO1	NCF4	RAB3GAP2	SRP54	COPE	PSMD10	UBE2D4	TESPA1	PDCD2	FKBP15	SYN1	MFAP3
DCX	PROM1	SLC11A1	HSPB11	UTP20	RSAD2	CTRB2	NPR2	FOXP2	RAD51	RN7SKP1	SLC41A1	KLF9	DHX30	KCNA5	CSF2RB	HEATR1	KIAA0391	CHCHD2	SMS	SMARCA2	SIT1	FBXW11	FAM206A	DLEC1	SPDL1
NAALAD2	SLC13A2	WWTR1	ZMPSTE24	ARL1	CMPK2	GP2	ZNF208	PDE5A	POLQ	SNORA57	COG2	TEK	RAF1	TMEM204	HCK	DESI2	PSMA6	RPL28	DDX49	TXNDC16	KLRG1	LYRM2	WDR34	AASS	CAPG
MAP2	NOX1	SNAI2	EIF3I	DDX54	OASL	CEL	BRSK1	FBLN5	SZRD1	U1	CEP350	MYCT1	SLC27A3	RGS22	SAMHD1	COPA	PSME2	RPL19	AIMP2	EIF2C1	GPR174	SCAMP1	SET	PKD1	C12orf4
SCGN	IYD	GPR124	TXLNA	C12orf44	SP110	PLA2G1B	SNED1	ITGA9	POLD1	SNORA80B	PIGC	FLT3	RAB5A	DMGDH	TLR8	RBM8A	TM9SF1	C1QBP	POLD2	SEC22C	CD96	ECHDC1	PPP2R4	REV3L	RCN1
PCDHA6	ETV7	SAMD4A	HNRNPM	RAN	RTP4	REG3A	CMYA5	ANK2	U2AF2	SNORA22	VPS45	RAMP3	GTDC2	BHMT2	TNFSF13B	DAP3	GMPR2	YWHAE	NPM3	TLL2	CD8A	STAG2	GLE1	TENM1	LAMA3
ERO1LB	MBTD1	FHL1	C22orf28	C12orf29	DDX60	REG1B	PCDH19	FAM13C	MCM10	U1	ALDH9A1	FAM124B	SLC25A38	TRPC4	ACP5	TIMM17A	FCF1	RPL34	BCCIP	PGC	UBASH3A	MAGT1	RAB14	POMT2	OPN3
F11	MVP	EHD2	MAPRE1	CCDC59	IFI44L	BRSK2	SAMD14	KIAA1755	ASPM	SNORA24	POGK	CD93	TMF1	GSTM5	CORO1A	URB2	ZNF410	MTCH2	PSMB3	JAK2	CD3G	FRG1	TRIM32	MLXIPL	RELT
CHGB	MTMR11	HSD17B6	SLC1A5	SCYL2	IFI44	PNLIP	NCKAP5L	SPARCL1	LRRC40	SNORA5A	RFWD2	RHOJ	VPRBP	ADAMTS8	IL21R	TAF5L	TRMT5	RPS13	LRRC59	DERL3	IKZF3	UHRF1BP1L	FBXW2	GIPR	SERPINB3
APOH	COX15	VIM	PTPMT1	PWP1	PARP9	SYCN	SYNPO	JAM2	PRR11	SNORA9	PPOX	F2RL3	NGLY1	DTX1	ATP8B4	DHX9	SNX6	ATP5B	GRPEL1	COCH	EOMES	RWDD1	PPP6C	PHF7	LAMC2
MYO3A	CCDC88C	AGPAT4	BYSL	SNRPF	HERC6	SV2B	PEAK1	CLSTN2	PSME4	SNORA50	PIGM	KDR	OXNAD1	SCN7A	CD37	ACBD6	EAPP	RPS12	ZNF259	CST3	TRAT1	ASF1A	NDUFA8	CLCN6	CDK17
KCNK16	NPC1L1	IBSP	TIMMDC1	TDG	HERC5	PDIA2	DPY19L2	CYGB	TRIP13	SNORA68	PRUNE	PLVAP	BRPF1	ASXL3	LILRB1	EPRS	NEDD8	COX7A2	HSPA8	MID1	ICOS	RNGTT	RBM18	AKAP8L	CSDA
SEZ6L	CHDH	ARHGAP31	GORASP2	C12orf52	IFITM3	PNLIPRP1	DTX3	RFTN2	TFRC	SNORA7A	ZNF687	RAMP2	APPL1	THSD7B	CD33	TIPRL	DAD1	MRPS27	PDHX	BMX	PRKCB	HDDC2	HSDL2	WIZ	GNA15
CABP7	CLCA1	APBA2	LRRC42	MMAB	IFIT5	SLC38A3	POU6F1	GUCY1A3	SMC1A	U1	SNX27	LYVE1	ANO10	FAM198A	TFEC	CREG1	ACTR10	THG1L	NUP98	PIM2	CD3D	HINT3	MAPKAP1	SEMA3B	QSER1
CHGA	MAGIX	VCL	MRPL37	VPS33A	UBE2L6	FAM150B	KIAA0825	TXLNB	HMMR	SNORA12	SETDB1	APLNR	CCDC12	ADAM33	TNFSF8	UCK2	COX16	RPL24	SRSF3	FNDC3A	IL7R	MTRF1L	ALG2	CALCOCO1	CDH3
GALNTL1	VSIG2	TIMP2	PARK7	DENR	MX1	REG1P	MAGI2	SVEP1	MCM2	ANXA2P1	ARNT	EDNRB	DCP1A	SCN2B	ABI3	TMCO1	EIF2S1	EEF1B2	HSPA9	CDADC1	GIMAP8	MRPL18	MRPS2	CLK1	APPBP2
CELF4	SYT13	FLT4	WDR77	DHX37	LY6E	PRSS1	ZNF676	MFAP4	ENO1	7SK	C1orf56	CCL21	STT3B	CNKSR2	MS4A6A	UFC1	TMX1	RPS15	TARS	CLN5	BCL2	CCNC	SMU1	DDX11	SBNO2
NOL4	PLEKHB1	TRIO	ATP5F1	RNF34	AIM2	CELA2B	GREB1	NEGR1	GTSE1	7SK	GOLPH3L	MMRN1	RYBP	FMN2	MS4A4A	SDHC	ARF6	ODC1	BRIX1	LYRM1	CXCR6	ASCC3	TTF1	POLA2	COL17A1
SYP	SLC7A9	VCAN	CAPZA1	TRIAP1	DTX3L	CELA3B	ZNF167	RCAN2	MCM6	7SK	TP53BP2	GJA5	SYNPR	HEYL	IL10RA	PFDN2	ISCA2	COX7A2L	PPP2CA	FCGRT	THEMIS	SMAP1	GTF3C4	ZC3H3	PFKP
PCSK1N	SLC45A4	ZFYVE16	BCAS2	UBE2N	IFI27	AMY2B	C2orf27A	A2M	SPAG5	7SK	CREB3L4	KCNN3	MTMR14	HAND2	SLC15A3	MRPL24	CPSF2	RPL22	RARS	CD79A	ABCD2	SNX3	DDX31	YAF2	TNFRSF1A
AP3B2	GRAMD1B	FAM65A	ADPRHL2	PTPN11	SLFN5	RP11-331F4.4	MMP17	BHLHE22	UBE2T	7SK	C1orf131	PIK3R1	KIAA1143	RNF180	BIN2	TARS2	BAG5	DPH5	BNIP1	GLCCI1	GPR171	HBS1L	IPPK	RGPD5	PKM
SCG3	NR1H3	RAI14	C1orf109	ARL6IP4	BPGM	AMY2A	SOGA3	TMEM119	SNRPA	RNU1-13P	TTC13	PRSS35	ZDHHC3	MYOZ3	CLEC4A	PI4KB	MAPK1IP1L	RPS25	MRPL3	GIMAP2	TBC1D10C	PEX7	ZNF484	SRCIN1	HEATR6
NPTX2	ATP6V0A1	TNC	SDHB	ORAI1	PARP14	GSTA2	LL22NC03-86G7.1	PRKG1	C12orf5	Metazoa_SRP	PSEN2	CXorf36	LZTFL1	FREM1	QKI	CERS2	MGAT2	NDUFB3	MOB1A	MEGF9	KCNA3	ZBTB24	TRAF2	RUFY3	TFE3
GCK	OTC	GPM6B	RPF1	SETD8	SAMD9L	PRSS3P1	RFPL1-AS1	COL14A1	TULP3	Metazoa_SRP	PYCR2	CLEC1A	ELP6	SLITRK5	LY86	ENSA	TMED10	RPL5	NCL	TLE4	GIMAP7	FIG4	CAMSAP1	ZNF839	UFD1L
AMBP	CASR	WWC3	EBNA1BP2	DIABLO	USP18	PRSS3P2	RP1-34H18.1	PRELP	GNB1	Metazoa_SRP	LBR	DIXDC1	RFT1	TMEM100	ARSB	MRPL9	C14orf119	PFDN5	ACTR3	AKNA	SEPT1	TMEM30A	UBAC1	ABCC2	ST6GALNAC2
SH3GL2	CDH1	MAP4	ATP6V0B	NDUFA12	IRF7		DIRC3	PLAC9	KIF22	Metazoa_SRP	ARL8A	CCDC3	SFMBT1	ISLR2	ST8SIA4	EIF2D	GLRX5	ATP5E	SF3B14	P2RX1	SLC9A9	COL4A3BP	EXOSC2	RTEL1-TNFRSF6B	MAP4K4
ATRNL1	RAB27B	HDAC9	B4GALT2	NOC4L	IFIT1		RP11-65F13.2	PCDH18	KIAA0020	Metazoa_SRP	VPS51	LGI2	ARHGEF3	PPP1R14A	CD86	JTB	SETD3	RPS10	PSMD14	POU2AF1	TIGIT	C5orf44	UCK1	BRD9	FAM50A
RUNDC3A	RETSAT	SNX29	ERI3	PPP1CC	IFITM1		RP11-877E17.2	FAT4	RBL1	Metazoa_SRP	MGAT5	GRAP	ATRIP	AR	GNB4	TPM3	GMFB	NDUFA1	PPM1G	ACRBP	P2RY8	STAM2	NINJ1	DAPK2	EPN2
RASD1	ADAM28	ADAMTS6	PRDX1	ALKBH2	ISG15		MIR143HG	ITGBL1	NDC80	Metazoa_SRP	MIA3	PGM5	SHISA5	PURG	CYTIP	SNAPIN	STYX	CLPP	AUP1	NEDD9	SH2D1A	CHMP3	OSTF1	CYP46A1	P4HA2
HLF	PHKA2	LTBP1	TMED5	ANAPC7	PLSCR1		GTF2F2P1	ZNF542	WBP11	Metazoa_SRP	TRIM11	CYP2U1	APEH	LRRN3	ITGA4	SLC39A1	BAZ1A	RPL23	MRPL19	MAN1A1	BTLA	ORC4	UBQLN1	TUBG2	AP1M1
SOX6	CTPS2	DKK3	DR1	PPTC7	TAP2		AC131025.8	CD302	ORC1	Metazoa_SRP	C1orf27	ERG	TEX264	PABPC5	WIPF1	HAX1		SNRPD2	WDR75	CCR6	SELL	ATF2	NAA35	MRI1	TP63
FAM184A	XK	PTGER3	PPP1R8	MRPL42	SAMD9		PCDHGA3	RP11-588K22.2	RAD54L	Metazoa_SRP	IFNGR2	BCL6B	WDR82	ZNF135	PLEK	C1orf43		UXT	CCT4	MAN2A1	FAM26F	YPEL5	C9orf40	HOXC8	CELSR1
GLP1R	ARHGAP6	HOMER3	TXNDC12	PGAM5			RP11-820L6.1		OGFOD1	Metazoa_SRP	CCDC107	TAL1	PDCD6IP	SCN4B	NCF2	ILF2		COX7C	TXNDC9	TTC33	GIMAP5	PCMT1	ISCA1	CLEC16A	FSCN1
BMP5	ZNF800	METTL24	RPN2	GATC			RP11-537P22.1		AURKA	Metazoa_SRP	CHTOP	ELTD1	JAGN1	FOXS1	KMO	SNAP47		EMC6	PDCL3	SMAD5	RCSD1	TCP1	LRRC8A	MYO16	REXO2
SIM1	EPN3	FAM168A	ATPAF1				RP11-509E16.1		TPX2	Metazoa_SRP	SLC25A44	CLEC3B	FBXL14	NRXN1	CXorf21	SRP9		ECSIT	MOB4	ARL6	CD247	SGPP1	CDK9	FAM65C	GTF3C1
GCG	ARHGEF5	TAB2	RRP36				LOC100421166		BIRC5	Metazoa_SRP	UBQLN4	EMCN	USP19	PCDH9	ADORA3	SDE2		RPL36	HSPE1	KAT2B	CD3E	DNAJB9	TXN	TG	DYNC1I2
ACADL	LIMA1	DCBLD2	GOT2						MLF2	Metazoa_SRP	SQSTM1	SOX17	QARS	LSAMP	SASH3	ARF1		EIF2S3	NOL10	LANCL1	GGTA1P	REEP5	ODF2	FAM214A	SLC25A43
PAPPA2	SLC4A8	PRDM1	PSMB2						NECAP1	Metazoa_SRP	IGSF8	CYYR1	NME6	SAMD11	GLIPR2	PARP1		EIF3G	CEBPZ	IL18R1	GIMAP1	RTN4IP1	KIAA0368	KIAA0556	TP73
CHD5	FAM160A2	CDK14	PPCS						KIF4A	Metazoa_SRP	NCSTN	SCARA5	OXSR1	APOD	SRGN	UHMK1		COX4I1	DARS	HMGN3	PTPRCAP	QRSL1	TOR1B	ANO2	RIF1
PRG4	PIK3CB	PPP1R12A	LRRC47						PUS7	Metazoa_SRP	FLVCR1	FAM107A	SMARCC1	NLGN3	ARHGAP9	TADA1		COX7B	PNO1	TNFSF18	TRGC2	PPIL4	C9orf78	ARID1B	CLDND1
C1orf114	PRSS8	SLC2A3	VPS25						WDR76	Metazoa_SRP	OTUD7B	CMAHP	GMPPB	WNK3	NCKAP1L	GGPS1		RPL27	FARSB	FAM117A	TRAC	NDFIP1	TOR1A	PPP1R3F	BZW1
COLEC11	FNIP2	COL11A1	LRRC41						CLSPN	Metazoa_SRP	RPRD2	TNXB	IP6K1	ADAMTSL2	PREX1	AHCTF1		NDUFA2	MRPS15	UBL3	GVINP1	COQ3	FAM129B	LETMD1	NFE2L1
SLC8A2	MSMO1	BCAT1	GRSF1						CDC45	Metazoa_SRP	LYSMD1	SDPR	NDUFAF3	ZNF667	HCST	PPP1R15B		EIF5A	FASTKD2	FMOD	TIFAB	AP3B1	CDK5RAP2	FSTL4	KIAA1467
TTR	KCNQ1	LZTS1	DPH2						CDC6	Metazoa_SRP	PYGO2	PKIG	DALRD3	PEG3	EVI2A	TAGLN2		TPT1	CPSF3	LAX1	RP11-284N8.3	SYNCRIP	SLC31A1	MCF2L2	WDFY1
AKAP7	ENTPD2	PRDM6	YARS						MSH2	Metazoa_SRP	GPT2	KCNAB1	RBM15B	GPRASP1	FAM78A	DUSP23		RPS15A	PDZD11	WIPF3		SNX14	STX17	TBC1D22A	MRPL28
SFRP5	SYNE2	GUCY1B3	GNL2						ACOT7	Metazoa_SRP	RILP	SHE	CNOT10	PNMAL2	WDFY4	DEDD		C11orf10	ETF1	PLA2G12A		AKIRIN2	PRPF4	USP36	ITPKC
GRIA2	PLEKHH1	GPC1	PRPF38A						CDC7	Metazoa_SRP	ENTPD3	NPR1	CMC1	DOK6	SIGLEC9	B4GALT3		ATP5G2	SLC35B1	CPNE5		ORC3	FPGS	MLL3	FAT2
CLU	ATP9A	CNN2	PPIL1						RANBP1	Metazoa_SRP	SYAP1	S1PR1	NOP9	LINC00478	LSP1	NDUFS2		MRPL44	SNRPC	SLC35B3		MAP3K7	ATP6V1G1	TRAF1	MTMR2
IAPP	CYFIP2	TRAM2	GTF2B						CENPM	Metazoa_SRP	ZNF672	CCL19	QRICH1	INMT	GMFG	ADIPOR1		COX5B	RPP40	PTGER2		LTV1	TEX10	PCGF2	TRIP6
SERAC1	IL17RB	MYLK	RTCA						MCM5	Metazoa_SRP	CERS6	XCR1	SACM1L	RGAG4	THEMIS2	PSMD4		NDUFB5	MRPS7	STAT5A		ISCU	MRPL50	CROCC	TMPRSS11E
MOGAT1	PKP2	EML1	ZNF593						POLE2	Metazoa_SRP	RPS6KA3	CD34	IFRD2	GPR162	MPP1	PSMB4		IMP4	EIF2S2	RASL11B		ESD	DPM2	FLYWCH1	DNM1L
GRM4	ALDH18A1	MSANTD3	SERBP1						CDKN3	Metazoa_SRP	GBA	SELP	RP11-378J18.3	MIR497HG	LILRB2	FLAD1		RPL35	PRMT1	HACL1		COMMD10	TSTD2	UNKL	PTHLH
APOBEC2	STYK1	TRO	PSMA5						VRK1	Metazoa_SRP	BOLA1	FZD4	CTD-3211M3.1	ZNF728	EMILIN2	UBE2Q1		C9orf123	PAICS	TBC1D5		ATG12	PSMB7	SFSWAP	ERGIC2
KCNK17	CREB3L3	MEF2A	RQCD1						GSS	Metazoa_SRP	GTPBP6	CLEC14A	ARPC4		ALOX5AP	FDPS		POLR1E	PPAT	LRRC4B		RARS2	C9orf156	TNK2	TMEM40
GRIA3	ACAA1	STON1-GTF2A1L	ENOPH1						GINS1	Metazoa_SRP	YOD1	ZNF366	NUDT16P		CD180	PMF1		RPS6	MTX2	FCRLA		ABRACL	RABEPK	MON2	FXYD5
NKX2-2	DGAT2	FGF10	MDH2						MYBL2	Metazoa_SRP	TDRKH	SHISA3	TWF2		PTPN22	GPATCH4		RPLP1	HAT1	INPP5K		SLC18B1	NCBP1	VMP1	ICAM1
PCSK2	EPN1	CLTCL1	HIAT1						C20orf24	Metazoa_SRP	MARC1	KCTD12			CD101	PEX19		RPS24	COPB1	IGJ		TMEM181	ANP32B	GLTSCR1	ITGA6
F10	ATP2C2	FSTL3	GART						E2F1	Metazoa_SRP	TOR3A	APOLD1			DOCK2	BROX		ASNSD1	PSMA1	LRRCC1		WTAP	PDCL	SUGP2	TGM1
FBXL16	HIPK2	NDST1	MED8						PIGU	Metazoa_SRP	GPR89B	CDH5			HAVCR2	TFB2M		OLA1	TOMM40	RCBTB1		C6orf211	ARPC5L	ZNF76	UNC13D
VGF	LPAR2	ARHGAP10	TMEM69						POLA1	Metazoa_SRP	C6orf106	GAS6			STX11	MRPL55		RPS2	DKC1	ITM2B		CSNK1G3	PLAA	DGKA	COMT
CBFA2T3	SLC12A2	VASH1	UBE2J2						SUV39H1	Metazoa_SRP	MPZL1	CLDN5			NPL	VPS72		COPS3	NOL11	BLK		CCDC75	APTX	SPEN	TMED1
DPP6	BCAS1	LMCD1	LSM12						NAA10	Metazoa_SRP	RNF5	LRRC70			DOCK10	PMVK		PSMB6	UBE2D2	NIPSNAP3A		SREK1IP1	CEP78	ASB1	C19orf26
KIF1A	ERBB3	ACTN1	SELRC1						CDK16	Metazoa_SRP	ABHD16A	KANK3			AOAH	APOA1BP		RPS11	IMMT	IL33		ZUFSP	HIATL1	ATG2B	SMARCB1
UNC13A	GSTO2	LIMS2	MAGOH						CENPI	Metazoa_SRP	C6orf47	GJA4			MYO1G	TMEM183A		RPL13A	SEC61G	IRF4		NUS1	INIP	STAG3	MICALL1
CALY	FAM107B	EVC	PEF1						NUP93	Metazoa_SRP	PPP1R11	FAM110D			TM6SF1	KRTCAP2		RPL11	CDK7	RNF144B		GTF3C6	UGCG	CACNB1	TOM1
C1QL1	SLC9A3	MRVI1	USP1						CMC2	Metazoa_SRP	SFT2D2	ARHGEF15			SLC31A2	CCT3		RPS8	YWHAQ	FAM8A1		MED7	MRRF	METTL22	ASCC2
SNAP25	CLDN18	PANX2	TYW3						OIP5	Metazoa_SRP	CLIC1	SOX18			TLR4	SSR2		ACP1	CCT7	RAB30		RMND1	POLE3	PMS2P4	PYGL
CRP	FGFR2	FERMT2	C1orf212						POP1	Metazoa_SRP	TSTD1	DARC			TLR2	RNF187		RPS27A	MRPS9	CGREF1		PCGF6	SURF4	PLEKHH3	SIX4
APCS	IDI1	PICALM	RPN1						MCM4	Metazoa_SRP	H3F3AP4	CCL14			SLCO2B1	COA6		SNRPG	BZW2	MSMB		FCHO2	SURF1	GRIPAP1	HIF1A
SYT4	ATP11A	GLI2	C1orf50						RNASEH2A	Metazoa_SRP	KIAA0040	LINC00341			PARVG	TOR1AIP2		RPL32	MRPL47	ARHGAP24		CUL4B	SURF2	ABCC9	NFKBIA
MTUS2	BCL3	NOTCH3	AIMP1						ASF1B	Metazoa_SRP	CTD-2008A1.2	ECSCR			GLIPR1	MTX1		EIF2A	MNF1	RASGEF1B		ARL5A	SURF6	CLEC2D	TPD52L2
BEX1	PLA2G10	NUAK1	METAP1						CCNE1	Metazoa_SRP		RP11-736K20.5			GPR65	TOMM20		RPS3A	RAB1A	CNOT6L		SLC25A46	REXO4	HES2	CTSZ
DUSP26	RAB27A	ZNF532	API5						TIMM50	Metazoa_SRP		RP11-389C8.2			IGSF6	SNRPE		RPL37	SLC5A6	CD27		AGGF1	GTF3C5	NEDD4	TCFL5
UNC79	GUCY2C	SCARF1	MRPL16						LIG1	Metazoa_SRP		CTB-133G6.1			ARRB2	ACBD3		BTF3	TIMM23	ABHD13		KIAA1430	ASB6	PHRF1	JAG1
MEIS2	PTPN3	SEMA3A	NDUFS5						TWISTNB	Metazoa_SRP		AC011526.1			PIK3R5	RABIF		NHP2	METTL5	PELI2		SLU7	PTGES2	SMG6	LAMA1
GIF	ST6GALNAC1	SEMA3C	PGM2						TTC26	Metazoa_SRP					MYO1F	POLR3C		NDUFB11	WDR12	IRF8		PSIP1	NTMT1	MNT	MOSPD1
PPP1R1A	GBA2	ADD2	AKIRIN1						SSBP1	Metazoa_SRP					SIGLEC10	RBM34		FAM58A	EIF4A3	TMEM50B		ZNF22	CIZ1	ZXDC	PGK1
CFC1	TRPM5	RASAL2	AURKAIP1						PDAP1	Metazoa_SRP					C1orf162	C1orf85		RPL10	ANAPC11	FCRL5		FUNDC2	GPR107	FRMPD1	PORCN
GAD2	FAM3A	FNDC3B	TUFM						BUD31	Metazoa_SRP					CD53	TSEN15		RPL7	PDIA6	PLA1A		LMBRD1	RNF20	CPSF1	GLA
TMOD1	PTPN18	ACTB	CYC1						NUDT1	Metazoa_SRP					FCGR2A	RP11-295G20.2		EIF3H	TPRKB	EAF2		SEPT2	C9orf41	MYO3B	COG4
KIAA0319	LNX1	BCAP29	CALR						LSM5	Metazoa_SRP					MARCH1			RPL7A	POLR2D	FAM105A		CDC40	FBXW5	SPP2	PLA2G15
FXYD2	SIDT1	MCAM	SIAH2						RPA3	Metazoa_SRP					PLA2G7			RPS3	HSPD1	GPC3		MAP3K2	TOR2A	SPEG	HSDL1
